Price,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,BNO,CVX,GLD,KSA,SPY,TLT,UNG,USO,WEAT,XLE,XOM,BNO,CVX,GLD,KSA,SPY,TLT,UNG,USO,WEAT,XLE,XOM,BNO,CVX,GLD,KSA,SPY,TLT,UNG,USO,WEAT,XLE,XOM,BNO,CVX,GLD,KSA,SPY,TLT,UNG,USO,WEAT,XLE,XOM,BNO,CVX,GLD,KSA,SPY,TLT,UNG,USO,WEAT,XLE,XOM
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-07,12.09000015258789,61.973419189453125,118.61000061035156,17.36343765258789,173.2738037109375,100.87467956542969,109.5999984741211,76.08000183105469,43.75,20.378225326538086,53.28107452392578,12.109999656677246,62.1303290752249,118.8499984741211,17.36343765258789,174.6416435437733,100.98098286178887,109.76000213623047,76.4000015258789,43.900001525878906,20.528212520451056,53.79855193434758,11.829999923706055,61.50922391082491,115.0,17.36343765258789,172.54315610525424,100.23684820108423,105.5999984741211,74.63999938964844,43.599998474121094,20.208240687740076,53.07408257274159,11.989999771118164,61.698825642333674,118.6500015258789,17.36343765258789,174.28481745221296,100.37353048851195,106.08000183105469,75.91999816894531,43.900001525878906,20.33822916531297,53.533345810210356,211800,6817700,11900500,0,113859000,5963300,928369,3525625,7520,27854200,8267100
2016-04-08,12.75,62.98027420043945,118.43000030517578,17.36343765258789,173.7410125732422,100.23686981201172,107.83999633789062,80.23999786376953,43.849998474121094,20.78818702697754,53.824432373046875,12.8100004196167,63.33332522381685,118.7699966430664,17.36343765258789,174.88796331849824,100.53300131472858,109.5999984741211,80.87999725341797,43.900001525878906,20.90151052997963,53.9796751194748,12.539999961853027,62.60761006266485,117.9800033569336,17.36343765258789,173.20576716362885,99.95592780810395,107.68000030517578,79.44000244140625,43.70000076293945,20.684863516695117,53.59156578586602,12.600000381469727,62.927969236662975,118.06999969482422,17.36343765258789,174.45466447692402,100.35836263009884,109.12000274658203,79.83999633789062,43.79999923706055,20.761523346453163,53.882651487381054,248300,7108500,9078900,0,95040600,5584800,1139056,5894563,1780,35333000,9376200
2016-04-11,13.079999923706055,62.26762771606445,120.02999877929688,17.574993133544922,173.33322143554688,100.10780334472656,104.31999969482422,82.23999786376953,42.70000076293945,20.70153045654297,53.89559555053711,13.140000343322754,63.61445298922641,120.30000305175781,17.574993133544922,175.07488218190852,100.36596693299192,104.63999938964844,82.72000122070312,43.400001525878906,21.018169798588836,54.490696959590416,12.930000305175781,62.20878837766381,119.41999816894531,17.574993133544922,173.23976608924343,99.55350820846397,103.36000061035156,81.19999694824219,42.599998474121094,20.70153045654297,53.869720932524515,12.949999809265137,63.333320066913885,119.47000122070312,17.574993133544922,174.37821269788202,99.71296900486,104.0,81.5199966430664,43.400001525878906,20.954841167306657,53.90206543880995,247900,6644200,9846000,100,83757500,4805500,702663,3633463,14040,32471400,9925000
2016-04-12,13.569999694824219,63.75178527832031,120.05000305175781,18.12190818786621,174.9474334716797,99.41680145263672,109.5999984741211,85.12000274658203,43.0,21.318145751953125,54.56184005737305,13.670000076293945,64.03291835723132,120.3499984741211,18.14698141466972,175.22779950653467,99.88758318253167,110.23999786376953,85.76000213623047,43.5,21.441469275923804,54.74295741230629,13.15999984741211,62.39188550181685,119.55000305175781,17.860986418707746,173.0613441198948,99.11308102176856,105.91999816894531,82.4800033569336,42.900001525878906,20.7381968995628,53.927929315106695,13.25,62.56187422089935,120.2300033569336,17.880574830444864,173.50313420182124,99.53070530385611,106.55999755859375,82.95999908447266,42.900001525878906,20.781525549271784,54.13492128289866,370900,8783400,9689500,32200,115350600,4276000,862131,7083088,10800,55260800,9986100
2016-04-13,13.420000076293945,63.810611724853516,118.7699966430664,17.817890167236328,176.71463012695312,99.76610565185547,110.55999755859375,84.08000183105469,43.95000076293945,21.418134689331055,54.87234115600586,13.699999809265137,64.01329226781127,119.43000030517578,17.82572583045784,176.79959426922812,99.91037693377574,111.04000091552734,85.91999816894531,44.25,21.481460776144967,54.92409039179487,13.399999618530273,63.4379474853212,118.55999755859375,17.817890167236328,175.72910311687826,99.10550724116118,108.63999938964844,83.83999633789062,43.349998474121094,21.158156474876954,54.36132855651651,13.539999961853027,63.94137417,119.37000274658203,17.82572583045784,175.86504055903507,99.23458902335469,109.5999984741211,84.72000122070312,43.349998474121094,21.308143661782207,54.65887925968523,216600,6406800,8841500,2000,96336400,5207900,798488,5366750,12020,37405800,9235700
2016-04-14,13.390000343322754,64.05906677246094,117.11000061035156,18.013784408569336,176.7230987548828,99.28771209716797,106.87999725341797,83.83999633789062,43.75,21.468130111694336,55.26044464111328,13.569999694824219,64.24866361511744,118.19000244140625,18.013784408569336,177.22436638826628,99.70533634731764,109.5999984741211,85.19999694824219,43.900001525878906,21.511458753083335,55.56446519999354,13.3100004196167,63.653710618330976,116.94999694824219,18.005948742240186,176.37477692900077,99.08270603579612,106.4000015258789,83.36000061035156,43.349998474121094,21.34147285655592,54.82705594168228,13.489999771118164,63.843312449065415,118.08999633789062,18.006733355023478,176.77408501195208,99.40161593967655,107.5199966430664,84.63999938964844,43.900001525878906,21.50812499823499,54.98229869735881,165000,6162200,13165800,1200,65212900,6967000,592475,3969688,4860,34871000,10625800
2016-04-15,13.140000343322754,63.5687141418457,117.91999816894531,18.013784408569336,176.52772521972656,100.13814544677734,103.83999633789062,82.0,43.95000076293945,21.178152084350586,54.96287155151367,13.239999771118164,63.94137840606674,118.12000274658203,18.013784408569336,176.85906464361813,100.35075203949825,104.95999908447266,82.63999938964844,44.150001525878906,21.38480163220447,55.40919984399818,12.90999984741211,63.39218607622241,117.19000244140625,18.013784408569336,176.20487702485997,99.65977482006015,103.36000061035156,81.04000091552734,43.5,21.151487134386937,54.83996841356549,13.100000381469727,63.88253405483311,117.33000183105469,18.013784408569336,176.72312719696814,99.6901422249387,103.68000030517578,82.23999786376953,43.70000076293945,21.348137961731855,55.17633333792593,398900,6551600,7838100,0,75761600,5831100,609944,4372625,2440,28442400,11280200
2016-04-18,13.130000114440918,64.52976989746094,117.73999786376953,17.880577087402344,177.7681121826172,99.70536041259766,105.44000244140625,81.36000061035156,45.25,21.528121948242188,55.4868278503418,13.239999771118164,64.5690011142113,118.55999755859375,17.880577087402344,177.80209005868852,99.80407478269301,106.08000183105469,81.91999816894531,45.25,21.58145185295431,55.53857706799876,12.609999656677246,62.45069498042262,117.62999725341797,17.880577087402344,175.86502702994795,99.21181173450829,103.19999694824219,78.31999969482422,44.099998474121094,20.69153004707679,54.2448762370369,12.649999618530273,63.568692378404585,118.52999877929688,17.880577087402344,176.52770580484832,99.72054991250317,104.0,78.72000122070312,44.25,20.74152492556204,54.96288059302689,325200,7770200,5809800,100,82531000,4486600,476344,4874688,28280,41371600,9097000
